    0.695374119469093555E+00    0.363954129754375977E+01    0.232985037532492147E-01    0.889963425628382376E+00    0.649035726047918815E+00    0.317635372572619215E-01    0.383048364240092187E+01    0.248683579511537502E-01    0.773628948297230279E+00    0.660664698363425007E+00   -0.551502647023025450E+01    0.338207909626961367E+01    0.297559381969665271E+01    0.307935940334838687E+01    0.323672804021081051E-03    0.101678116525385056E-03   -0.594598580883617250E-01   -0.643608042340102771E-01   -0.343333073870164401E-01    0.126112622957266773E-03   -0.307331552423084978E-02    0.334749850372962177E+00    0.174160906669418369E+01    0.807817127999952006E-01    0.621183083244017498E+00    0.464845308498873779-309
    0.725357859254466830E+00    0.302066908584898375E+01    0.205541314667001471E-01    0.825123370698174763E+00    0.721307084779405971E+00    0.567197965170371590E-01    0.454629086860718790E+01    0.254216789704557605E-01    0.828590063101256491E+00    0.644831290794819378E+00   -0.198105011679130527E+01    0.104918068179048518E+01    0.302716489198166672E+01    0.273836999684076599E+01    0.124972234480161953E-03   -0.560250724321983886E-04   -0.151640619074555338E-01   -0.181165042458648340E-01    0.331762217387527314E-01    0.333973821729888556E-01    0.278836850559927921E-01    0.279265220483846777E+00    0.153310758404453784E+01    0.148169929679863810E+00    0.373993782572189459E+00    0.464846394210422980-309
    0.849912798738383546E+00    0.347649554792923743E+01    0.218158312262287032E-01    0.739386039969649023E+00    0.643214764681541151E+00    0.513863976997143632E-01    0.391136685148621233E+01    0.257666996902195036E-01    0.107843708164761476E+01    0.716942630790666890E+00   -0.557112597141014021E+00    0.318005589790966781E+01    0.246529975687133751E+01    0.269621378340651319E+01    0.722973202798454263E-04   -0.343749915954403001E-04   -0.161502569894405174E-01   -0.617373570257483753E-01    0.259911695969633483E-01   -0.500597105953433721E-02   -0.218457713271875721E-01    0.476524779517805752E+00    0.202705732409690453E+01    0.943584852368551802E-01    0.120130581956385332E+00    0.464846205628490831-309
    0.715555096480876784E+00    0.358949740766061520E+01    0.215488482500864331E-01    0.860922970254974329E+00    0.673482130506627641E+00    0.278899966191253137E-01    0.422734215596349117E+01    0.220585093026090008E-01    0.107768309995281508E+01    0.719392552196810420E+00   -0.112054683300383395E+01    0.155127918255803277E+01    0.290233288560037073E+01    0.234463374957607096E+01    0.931314247431027633E-04   -0.128268676025117137E-03    0.831707161663815253E-02   -0.199279518853702139E-01   -0.640059821604213736E-01   -0.221332319594503418E-02   -0.125314757034598739E-01    0.274505611762482393E+00    0.617773901815003912E+00    0.295218498408940322E+00    0.120206912720086279E+01    0.464846205703272607-309
    0.824408240404967740E+00    0.260675400245502065E+01    0.233509059290688062E-01    0.116396914893336612E+01    0.673773973705258045E+00    0.565315831206545522E-01    0.323944987395117678E+01    0.213732547673039994E-01    0.857934538196089336E+00    0.744468789638508821E+00   -0.356071320308209671E+01    0.523292869253618953E+01    0.250063326758632432E+01    0.302964148561618840E+01    0.104668582044206379E-03    0.395681875946735334E-03   -0.101676243749418138E+00   -0.534187336783258568E-01   -0.579958720610268541E-02    0.875545129284800716E-02    0.497261195067409678E-02    0.740440522222326480E+00    0.109106705267511428E+01    0.280208476280108087E+00    0.447818398216003999E+00    0.464846234933619124-309
    0.683046082411082334E+00    0.251930824167007295E+01    0.207730886075578741E-01    0.117641856128923550E+01    0.686063897825723523E+00    0.414497314319407784E-01    0.460622790025941153E+01    0.248699654620166549E-01    0.868399605265868235E+00    0.711025570842083510E+00   -0.179799086745830028E+01    0.175742090870662704E+01    0.242573972883154187E+01    0.254168144895102621E+01    0.956910355074603236E-04   -0.109979697430056590E-03   -0.310736595905069940E-01   -0.452875678284854616E-01    0.639687270861123286E-01   -0.143943577067165290E-01    0.191338194076969559E-01    0.419348834425557204E+00    0.103961226882353786E+01    0.208979999677833872E+00    0.996018665609327503E+00    0.464845448883555944-309
    0.812752545626112322E+00    0.265775620377436628E+01    0.235793351912049268E-01    0.127805931078765012E+01    0.717678745746266888E+00    0.422365357770726479E-01    0.344151302403660520E+01    0.212782959334123223E-01    0.825964030295691432E+00    0.663688960068900990E+00   -0.502357261742971328E+01    0.191792966562012523E+01    0.246527106621460756E+01    0.241547844062346506E+01    0.189821972571412251E-03   -0.172242984990500752E-03    0.162826636766183475E-02    0.735457771672608229E-02    0.103945438348178321E-01   -0.227178372325972169E-01    0.267749693048366724E-01    0.470434714881766802E+00    0.853726718249593564E+00    0.259409263928078171E+00    0.436197640776071982E+00    0.464846494103540124-309
    0.926817934065054860E+00    0.324794910962711114E+01    0.221243679088299026E-01    0.111226247221845820E+01    0.719766562916329566E+00    0.200843431088000360E-01    0.404101878159817574E+01    0.244900714197905135E-01    0.877096440586054404E+00    0.769968886000707009E+00   -0.369242898730668934E+01    0.408356178882749177E+01    0.226883254933240064E+01    0.310336231508428151E+01    0.147350329896240510E-03   -0.148699318557571401E-03   -0.591853449184157818E-01   -0.474451587714041709E-01    0.510242138665453759E-02   -0.132800907554076301E-01   -0.761810618388554170E-02    0.137456598047702050E+01    0.141274371189499304E+01    0.134412175581905852E+00    0.403456007158498442E+00    0.464845598190194117-309
    0.954799054357141741E+00    0.301545086448546629E+01    0.239686018284814006E-01    0.111651458025550987E+01    0.728056484417401228E+00    0.198347996656084886E-01    0.456569854753416760E+01    0.257120094559710397E-01    0.105025828345161787E+01    0.740050166517466801E+00   -0.462876489264798252E+01    0.115853131680209653E+01    0.213834193957355456E+01    0.291060690496963925E+01    0.243458061242163792E-03   -0.277878501499332470E-03    0.187074903011130028E-01   -0.183541342339165817E-01   -0.134450193565537751E-01   -0.138680531923338519E-01    0.845350486026880121E-04    0.244622834494155589E+00    0.877629752662128948E+00    0.127005723369376877E+00    0.308410296334004741E+00    0.464845874700633529-309
    0.694306964106439883E+00    0.286694531402610675E+01    0.212772919735362796E-01    0.942306814300685192E+00    0.701407661922725745E+00    0.290234518496752386E-01    0.367903125738915371E+01    0.255659601926971174E-01    0.755095774188430657E+00    0.645425879775121669E+00    0.606430261553429162E+00    0.209085257972115990E+01    0.247478094446736741E+01    0.279916727618411176E+01    0.532928353460990190E-03    0.848715001403628619E-04    0.114199607328860739E+00   -0.517884017159462723E-01    0.591996747826812192E-01   -0.242700946974749969E-01    0.158712204810580598E-01    0.108697890706124078E+01    0.163043635117638530E+01    0.145172013299414621E+00    0.687510266936395054E+00    0.464846097090331591-309
