    0.908004665374755882E+00    0.351007242798805219E+01    0.252775177359580994E-01    0.108622629642486568E+01    0.792915654182434038E+00    0.100000000000000000E+01    0.100000000000000000E+01   -0.100000000000000002E+31   -0.690775511231546968E+01    1
    0.853688001632690430E+00    0.213235599994659442E+01    0.209496420621871939E-01    0.117921190261840825E+01    0.640077333450317365E+00    0.222461100423149993E+01    0.197205611642391498E+01   -0.100000000000000002E+31   -0.690875511231548245E+01    1
    0.821192748546600293E+00    0.448781716823577881E+01    0.215089952945709227E-01    0.103855507373809819E+01    0.678981047868728593E+00    0.242362345378808408E+00    0.454098644732986390E+00   -0.100000000000000002E+31   -0.690975511231547301E+01    1
    0.948729662895202663E+00    0.293162333369255057E+01    0.245995974540710455E-01    0.106777437925338736E+01    0.815167410373687673E+00    0.226549600479629687E+01    0.224756011132976008E+01   -0.100000000000000002E+31   -0.691075511231547601E+01    1
    0.755624892711639351E+00    0.249885840415954608E+01    0.259138517081737504E-01    0.101641057729721074E+01    0.743717235326766923E+00    0.193659377357330098E+01    0.409754840067291060E+01   -0.100000000000000002E+31   -0.691175511231546658E+01    1
    0.931096724271774256E+00    0.473734446763992256E+01    0.209508284926414497E-01    0.122565635442733756E+01    0.815558261871337842E+00    0.905176176364369200E+00    0.351671121028247979E+01   -0.100000000000000002E+31   -0.691275511231547579E+01    1
    0.862882195711135891E+00    0.313171440958976710E+01    0.197017568349838260E-01    0.908983206748962380E+00    0.760779002904891977E+00    0.100280658943134160E+01    0.114397491398550089E+01   -0.100000000000000002E+31   -0.691375511231547435E+01    1
    0.738174726963043204E+00    0.420358061790466309E+01    0.209098049998283388E-01    0.100204559564590445E+01    0.736392573118209826E+00    0.132918294386140134E+01    0.250698027989001027E+01   -0.100000000000000002E+31   -0.691475511231548357E+01    1
    0.986991695165634120E+00    0.285751876235008240E+01    0.235633125901222214E-01    0.810940992832183793E+00    0.715879263877868599E+00    0.425536239781337144E+00    0.222709406054347614E+01   -0.100000000000000002E+31   -0.691575511231552209E+01    1
    0.843043949604034393E+00    0.277317816615104640E+01    0.249492605030536621E-01    0.769828522205352694E+00    0.686509010791778618E+00    0.718505639340163982E+00    0.322227595590377813E+01   -0.100000000000000002E+31   -0.691675511231554463E+01    1
