    0.130296503305435185E+00    0.475747761130332947E+01    0.251194739341735820E-01    0.111047618389129643E+01    0.663365913629531900E+00    0.354638281230176378E+00    0.207446498826499370E+01   -0.839890353348861751E+01
    0.382566630840301541E-01    0.324067614674568194E+01    0.191592720150947568E-01    0.124174134731292729E+01    0.733332086801528948E+00    0.107963308981040187E+00    0.421413678184915763E+00   -0.826766507681121077E+01
    0.120277640819549558E+00    0.211008222103118914E+01    0.228338098526000982E-01    0.129112242460250859E+01    0.736451120376586887E+00    0.265055534321866793E+00    0.596665140034278618E+00   -0.804690453183374999E+01
    0.124381356239318841E+00    0.486046964526176417E+01    0.248444652557373025E-01    0.109194469451904297E+01    0.706129637956619205E+00    0.300570049837376896E+00    0.214634299564931608E+01   -0.766284240055224242E+01
    0.496133482456207267E-01    0.484033453464508057E+01    0.204775223135948183E-01    0.116939215660095219E+01    0.691774594783783003E+00    0.147810463984879903E+00    0.112614785475810764E+01   -0.765782306914039168E+01
    0.117280631428860360E+00    0.336995180227638258E+01    0.230630934267666010E-01    0.882824444933810182E+00    0.662094697854312741E+00    0.321618854601231963E+00    0.903739626031278886E+00   -0.751574596100796111E+01
    0.121988369226455687E+00    0.200379121303558350E+01    0.257507184147834772E-01    0.115444020032882699E+01    0.683549010753631614E+00    0.317574397936616848E+00    0.512879764671994587E+00   -0.736239367691636382E+01
    0.111004452701444392E+00    0.410994484049986841E+01    0.217946121437754617E-01    0.110177948189872787E+01    0.738485261917696589E+00    0.244688064381225617E+00    0.142208994223557017E+01   -0.714626279889346083E+01
    0.111353940859077169E+00    0.289790620106766905E+01    0.241697064202811562E-01    0.126468081592428372E+01    0.797097491328496943E+00    0.214314464098189272E+00    0.837680032572219013E+00   -0.713550080546642640E+01
    0.116820902824401843E+00    0.308674730062484759E+01    0.254046611487865441E-01    0.123147331476211552E+01    0.703912309408187831E+00    0.288338750906665831E+00    0.894977018123221391E+00   -0.672277986854005949E+01
    0.444096351233158881E-01    0.381722257196309744E+01    0.253867117645257441E-01    0.708748515616342445E+00    0.771079437040072424E+00    0.118474280713374777E+00    0.512720621005413602E+00   -0.663182339690825273E+01
    0.870779886994506452E-01    0.256701981997918605E+01    0.258054676252682247E-01    0.746826006525852515E+00    0.642071003010846852E+00    0.275381850097979941E+00    0.463914476397245146E+00   -0.659513335861889782E+01
    0.348739337921142589E-01    0.375172562003135646E+01    0.199643696844577778E-01    0.784268927574157670E+00    0.781446142196655202E+00    0.908568015697060333E-01    0.435535976012470682E+00   -0.657332225940434967E+01
    0.680652207402586001E-01    0.302087143760844512E+01    0.229833981141836161E-01    0.735757406352462673E+00    0.652920981417229207E+00    0.215086806330634400E+00    0.500649706145598117E+00   -0.648755981657941661E+01
    0.735508153160533834E-01    0.297290565552696018E+01    0.230008484735214659E-01    0.103842467555853823E+01    0.644677164411754822E+00    0.233863757538483763E+00    0.562165451075993916E+00   -0.643906308379750492E+01
    0.678357279300689647E-01    0.317572164535522461E+01    0.224610212445259076E-01    0.881723093986511275E+00    0.650206459760665934E+00    0.215108027008353658E+00    0.562571660713017008E+00   -0.641990944975568745E+01
