Nested Sampling Global Log-Evidence           :   -0.540110142847704910E+01  +/-    0.608476909911545363E-01
Nested Importance Sampling Global Log-Evidence:   -0.660501505609828055E+01  +/-    0.730242240430838043E-02

Dim No.       Mean        Sigma
   1    0.663668004451849897E-01    0.120406808942171064E-01
   2    0.333291964188586531E+01    0.959230616016980453E+00
   3    0.219500100734928809E-01    0.210284339425536974E-02
   4    0.995109642382423609E+00    0.174170963615229074E+00
   5    0.777763057507262157E+00    0.339828330376342816E-01
   6    0.148733564075600344E+00    0.307808391653309962E-01
   7    0.705640652206738994E+00    0.353711086259112018E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.518758783288140526E-01
   2    0.207486071396514937E+01
   3    0.195041101440552936E-01
   4    0.100479198220827293E+01
   5    0.809717668576599880E+00
   6    0.109852704937647386E+00
   7    0.282625396157065167E+00

MAP Parameters
Dim No.        Parameter
   1    0.797995427296731563E-01
   2    0.354396354006264458E+01
   3    0.253860307137020978E-01
   4    0.735105359516016632E+00
   5    0.791272838468849216E+00
   6    0.169026612171129215E+00
   7    0.715722322024073376E+00
