    0.938034999805004710E-01    0.329896120816270377E+01    0.249558488868478721E-01    0.116318952538476506E+01    0.687092858376018967E+00    0.642588240521293486E+00    0.210206660959830449E+01    0.527350822304808987E-03    0.672791876397155653E+00    0.663385931736314161E-02    0.397899541534746659E-01    0.204729936235920340E-01    0.196506756112969638E-01   -0.258672487355780106E-01    0.252921723592193004E+00    0.825120737000371030E+00   -0.113991835195279151E+03
    0.765904858011323131E-01    0.325697527253863761E+01    0.225151008621174223E-01    0.116854653309112866E+01    0.669128568052438033E+00    0.470545276933194145E-01    0.269246963745979695E+01    0.217164137222523434E-03    0.838191814905184129E+00    0.515220264945268486E-01    0.331393949034736179E-02    0.246763872022373459E-01   -0.460762941928337388E-03   -0.740232259434963139E-02    0.222788388447248020E+00    0.706816081977073352E+00   -0.113301486031448164E+03
    0.168671535585302818E+00    0.280659389623052924E+01    0.207663622596572020E-01    0.951064643533990672E+00    0.691663319978352398E+00    0.378509697124308531E+01    0.269123833824608027E+01    0.447082815722792386E-05    0.989036990856594356E+00   -0.924408584977113174E-01    0.256629261986345836E-01    0.222063917399705213E-01    0.148564710119502424E-01   -0.131761576932808225E-01    0.397330203851438080E+00    0.891432266945537122E+00   -0.112687365991772481E+03
    0.127355180646592681E+00    0.248696989187737882E+01    0.213159871705168071E-01    0.126941147007081612E+01    0.669928403881130952E+00    0.158529969143761562E+01    0.252975903231403265E+01   -0.217078966662606621E-03    0.741633929321328877E+00   -0.522007063477601535E-01   -0.241650388323425072E-01    0.106625856913641209E-01   -0.287064935592443241E-01   -0.159930838368485574E-01    0.332695968961663202E+00    0.727108540737565368E+00   -0.112360159693747903E+03
    0.782283818449970442E-01    0.324990769641652921E+01    0.213049401402448275E-01    0.115057049102940812E+01    0.654241893710787559E+00    0.289765261532748042E+01    0.295519616724955192E+01   -0.539399995697718263E-03    0.951114772494644933E+00   -0.897101478062831137E-01    0.175914916259071741E-01    0.194818244897789206E-01   -0.145473829259241266E-02    0.753496807859747181E-02    0.234041733527589280E+00    0.716312429123998506E+00   -0.112280661938269915E+03
    0.732361590427300091E-01    0.401066043091614777E+01    0.252710228103414161E-01    0.835165452594898716E+00    0.656287759727332998E+00    0.472673531287561843E-01    0.239608088888868087E+01    0.556131841749407446E-04    0.785177884791677161E+00   -0.140783811443223189E-01    0.207519363964252801E-01    0.333049647858135733E-02    0.311539625797156508E-01   -0.619439718750085938E-02    0.230202418337039333E+00    0.869917893263275954E+00   -0.112094096388471783E+03
    0.129291746343970920E+00    0.275513171346619012E+01    0.250351657275446754E-01    0.105242272666902004E+01    0.716538885288307781E+00   -0.649852127622709830E+00    0.217769746909389106E+01    0.233345977595095407E-03    0.125325664676390236E+01   -0.468458193207022117E-01   -0.279083176456848547E-02    0.683504725682422543E-02    0.707590555348381473E-02    0.971001215050265598E-02    0.301836003846714884E+00    0.758330472610407647E+00   -0.111934271789023811E+03
    0.719561918675276496E-01    0.394195589785426925E+01    0.215023573898293560E-01    0.848076324853066055E+00    0.644579634237225307E+00    0.554933242318753628E-01    0.304317646929439256E+01    0.170934371591742050E-03    0.890388267054424087E+00   -0.363288685749003498E-01    0.575970308144143350E-01    0.110122286292820004E-01    0.178842768462121604E-02    0.191944043945845022E-02    0.226489908625686187E+00    0.862186482661310705E+00   -0.111627531728050670E+03
    0.770750437095181762E-01    0.372476208918976770E+01    0.256954212728113737E-01    0.100548279924091499E+01    0.654180858194369219E+00    0.408421302326227398E+01    0.306846321624864959E+01   -0.199818509898803454E-03    0.117795941123917625E+01   -0.831844255353655082E-01    0.720080267726896928E-02    0.364563361846538120E-01   -0.207693511899837355E-01   -0.292023201176647706E-01    0.241649664094883615E+00    0.820177368123086614E+00   -0.111517867023776063E+03
    0.103184733717931021E+00    0.327239799460609593E+01    0.199329096726241217E-01    0.865964995996062692E+00    0.666837251230971040E+00    0.149146190780077781E+01    0.235156050836061814E+01   -0.248509001759251384E-03    0.794251384295346474E+00   -0.180395265496671869E-01   -0.174996757247493431E-01   -0.650992401001138504E-01   -0.206807006069509303E-03   -0.716592236447572556E-02    0.278321553105295105E+00    0.810836106697733316E+00   -0.111136760490959574E+03
