Nested Sampling Global Log-Evidence           :   -0.167979999999994796E+02  +/-    0.129607098571025342E+00
Nested Importance Sampling Global Log-Evidence:   -0.174631315926879545E+02  +/-    0.292748978299509945E-01

Dim No.       Mean        Sigma
   1    0.100309132713354732E+00    0.106965135628005505E-01
   2    0.320523381578957745E+01    0.223437251635453138E+00
   3    0.232189168549121056E-01    0.193451161518037222E-02
   4    0.105385599878248160E+01    0.105923778060909468E+00
   5    0.684466533902454377E+00    0.227887561377499541E-01
   6    0.103886568408888724E+01    0.590684560153577731E+00
   7    0.250134163485907468E+01    0.290242179109850784E+00
   8   -0.107528827388631815E-04    0.199730088056879700E-03
   9    0.101943402976610908E+01    0.120429366920626918E+00
  10   -0.105771681506448799E-01    0.322156470217374660E-01
  11   -0.947966589092682707E-02    0.190269763418636356E-01
  12    0.153589178590842930E-01    0.201927683677903987E-01
  13    0.118291626510678765E-02    0.112872639315170619E-01
  14    0.603411240644284325E-04    0.107376762408782859E-01
  15    0.607576022015589245E-44    0.399783026722757516E-22
  16    0.187927718805210482E-43    0.123255116722276411E-21

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.113253369909655704E+00
   2    0.299624667742709727E+01
   3    0.258168920492078784E-01
   4    0.110262589892785234E+01
   5    0.681793321445595124E+00
   6    0.185704905713645907E+01
   7    0.239164750641874457E+01
   8    0.230853031090794375E-03
   9    0.100846252896246158E+01
  10    0.152606813107840217E-01
  11    0.456720209629293827E-03
  12    0.246500577617311256E-01
  13    0.179917722311707384E-01
  14   -0.220147579011087738E-02
  15    0.694760872127864144-309
  16    0.694760872128180346-309

MAP Parameters
Dim No.        Parameter
   1    0.108987422139888643E+00
   2    0.295450493802895453E+01
   3    0.241496972506190892E-01
   4    0.118187104919201746E+01
   5    0.702702169626526318E+00
   6    0.198841364235939011E+00
   7    0.236938735974253012E+01
   8   -0.344265751829026618E-04
   9    0.110522678006589925E+01
  10   -0.101325055945075543E-01
  11    0.818261417015014869E-02
  12    0.306300761146549583E-01
  13    0.633928601850226175E-02
  14   -0.123327676033180289E-04
  15    0.694760872127864144-309
  16    0.694760872128180346-309
